rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
163,frame_0206.jpg,82.4,0.4011,0.4316,0.1111,0.76,2,1,False,False
164,frame_0117.jpg,46.8,0.4007,0.508,0.2222,0.4,6,2,False,False
165,frame_0086.jpg,34.4,0.3995,0.3911,0.3333,0.52,4,3,False,False
166,frame_0214.jpg,85.6,0.3971,0.4529,0.2222,0.52,3,2,False,False
167,frame_0232.jpg,92.8,0.3943,0.5753,0.2222,0.2,4,2,False,False
168,frame_0183.jpg,73.2,0.3928,0.6363,0.2222,0.04,4,2,False,False
169,frame_0093.jpg,37.2,0.3914,0.4869,0.3333,0.24,4,3,False,False
170,frame_0202.jpg,80.8,0.3911,0.4088,0.2222,0.6,5,2,False,False
171,frame_0011.jpg,4.4,0.3896,0.3125,0.1111,1.0,4,1,False,False
172,frame_0173.jpg,69.2,0.3889,0.5005,0.2222,0.36,7,2,False,False
173,frame_0207.jpg,82.8,0.3885,0.3903,0.1111,0.8,3,1,False,False
174,frame_0009.jpg,3.6,0.3859,0.3051,0.1111,1.0,2,1,False,False
175,frame_0309.jpg,123.6,0.3846,0.4546,0.4444,0.12,5,4,False,False
176,frame_0081.jpg,32.4,0.3832,0.345,0.2222,0.72,6,2,False,False
177,frame_0172.jpg,68.8,0.3829,0.4059,0.3333,0.4,5,3,False,False
178,frame_0381.jpg,152.4,0.3826,0.5492,0.3333,0.04,8,3,False,False
179,frame_0084.jpg,33.6,0.382,0.4574,0.1111,0.6,3,1,False,False
180,frame_0104.jpg,41.6,0.3817,0.582,0.2222,0.12,4,2,False,False
181,frame_0090.jpg,36.0,0.3815,0.4856,0.2222,0.36,5,2,False,False
182,frame_0189.jpg,75.6,0.3796,0.5273,0.3333,0.08,4,3,False,False
183,frame_0119.jpg,47.6,0.3782,0.3645,0.3333,0.48,5,3,False,False
184,frame_0269.jpg,107.6,0.378,0.5401,0.3333,0.04,6,3,False,False
185,frame_0098.jpg,39.2,0.3769,0.5379,0.3333,0.04,5,3,False,False
186,frame_0180.jpg,72.0,0.3767,0.3881,0.5556,0.08,6,5,False,False
187,frame_0321.jpg,128.4,0.3751,0.4703,0.3333,0.2,7,3,False,False
188,frame_0198.jpg,79.2,0.3748,0.5069,0.1111,0.44,2,1,False,False
189,frame_0313.jpg,125.2,0.3725,0.6624,0.1111,0.04,2,1,False,False
190,frame_0167.jpg,66.8,0.3723,0.438,0.1111,0.6,6,1,False,False
191,frame_0271.jpg,108.4,0.3706,0.5253,0.3333,0.04,4,3,False,False
192,frame_0223.jpg,89.2,0.365,0.466,0.3333,0.16,7,3,False,False
193,frame_0177.jpg,70.8,0.3609,0.4418,0.3333,0.2,6,3,False,False
194,frame_0106.jpg,42.4,0.3595,0.5697,0.2222,0.04,6,2,False,False
195,frame_0194.jpg,77.6,0.3591,0.4062,0.3333,0.28,6,3,False,False
196,frame_0273.jpg,109.2,0.358,0.468,0.3333,0.12,5,3,False,False
197,frame_0230.jpg,92.0,0.3567,0.532,0.2222,0.12,9,2,False,False
198,frame_0178.jpg,71.2,0.3566,0.5159,0.2222,0.16,7,2,False,False
199,frame_0220.jpg,88.0,0.3562,0.4671,0.2222,0.28,3,2,False,False
200,frame_0204.jpg,81.6,0.3547,0.3708,0.1111,0.68,2,1,False,False
201,frame_0108.jpg,43.2,0.3544,0.4262,0.4444,0.04,7,4,False,False
202,frame_0192.jpg,76.8,0.3519,0.4904,0.2222,0.2,3,2,False,False
203,frame_0281.jpg,112.4,0.3512,0.3931,0.2222,0.44,4,2,False,False
204,frame_0083.jpg,33.2,0.3472,0.305,0.2222,0.64,4,2,False,False
205,frame_0222.jpg,88.8,0.3468,0.4137,0.3333,0.2,7,3,False,False
206,frame_0012.jpg,4.8,0.3467,0.2268,0.1111,1.0,5,1,False,False
207,frame_0175.jpg,70.0,0.3464,0.4474,0.2222,0.28,7,2,False,False
208,frame_0195.jpg,78.0,0.346,0.4306,0.2222,0.32,3,2,False,False
209,frame_0224.jpg,89.6,0.3451,0.4422,0.3333,0.12,5,3,False,False
210,frame_0116.jpg,46.4,0.3447,0.412,0.2222,0.36,7,2,False,False
211,frame_0218.jpg,87.2,0.3444,0.4781,0.1111,0.36,3,1,False,False
212,frame_0103.jpg,41.2,0.3443,0.4246,0.3333,0.16,5,3,False,False
213,frame_0212.jpg,84.8,0.3417,0.3768,0.1111,0.6,2,1,False,False
214,frame_0391.jpg,156.4,0.341,0.466,0.3333,0.04,8,3,False,False
215,frame_0112.jpg,44.8,0.3391,0.5316,0.1111,0.2,5,1,False,False
216,frame_0325.jpg,130.0,0.336,0.456,0.3333,0.04,6,3,False,False
